Province_State,Population,May20,Jun20,Jul20,Aug20,Sep20,Oct20,Nov20,Dec20,Jan21,Feb21,Mar21,Apr21,Average
Hawaii,1415872,7.062785336527596E-5,7.062785336527596E-5,5.650228269222077E-4,0.003107625548072142,0.004661438322108213,0.005862111829317905,0.001765696334131899,0.003107625548072142,0.008616598110563667,0.002048207747593003,0.001695068480766623,0.001412557067305519,0.0027486006267986563
Idaho,1787065,0.0012310688195448962,5.59576736156771E-4,0.005371936667105002,0.009680677535512138,0.006043428750493127,0.008953227778508335,0.01678730208470313,0.028370540523148288,0.01617176767493068,0.007554285938116409,0.005707682708799065,0.004700444583716877,0.00926099498339456
Illinois,12671821,0.023950780239083237,0.012097708766561648,0.006068583197316313,0.004285098408508138,0.005374128943267112,0.008870074790355703,0.023240542933805647,0.039402387391677965,0.025844746386490147,0.01169524096023768,0.006660447618380972,0.005618766237307172,0.01442570882274931
Indiana,6732219,0.014140954119288158,0.006773398191591807,0.004708700058628515,0.005599936662785331,0.0056742063797983995,0.012759537382845094,0.02863840288023904,0.04393796458493106,0.02831161612538154,0.018968485725137582,0.006921937625617942,0.004352205416965788,0.015065612096100855
Iowa,3155070,0.011822241661833176,0.005736798232685804,0.0049444227861822395,0.007860364429315356,0.0075434142507139305,0.011346816393931038,0.02250346268070122,0.04643320116510885,0.03201196803874399,0.018066160180281263,0.008621044857958777,0.006560868697049511,0.015287563614542095
Kansas,2913314,0.0027803388168937504,0.001990859893578241,0.002917639499209491,0.003192240863840973,0.007791813721418288,0.012048134873206252,0.018226665577414584,0.04036640060082779,0.03538925086688218,0.03175078278551505,0.0061098803630504645,0.0025743877934201395,0.013761532971271433
Kentucky,4467673,0.004275156216670289,0.002999324256721564,0.003805112863004969,0.004431837334558729,0.005394307058730574,0.0069611182376149725,0.009468016123830011,0.016003857041462077,0.0251137448958328,0.019965651022355486,0.03252252347027189,0.009199419921735544,0.011678339036899075
Louisiana,4648794,0.01905870640858683,0.009249710785205797,0.01565997546890656,0.021532466269746517,0.012067645931396401,0.008776469768288291,0.010776988612530475,0.02297370027581347,0.02949151973608639,0.016111705530509633,0.011465339182592302,0.005184140230778133,0.015195697350036732
Maine,1344212,0.0026781489824521726,0.00119028843664541,0.0013390744912260863,6.695372456130431E-4,6.695372456130431E-4,4.463581637420288E-4,0.0034964722826458924,0.011382133175421734,0.018077505631552165,0.008406412083808209,0.002975721091613525,0.0030501141189038634,0.004531775245769764
Maryland,6045680,0.02302470524407511,0.010883804634052745,0.005011843167352556,0.004333672969789999,0.0032089028860277087,0.003275065832131373,0.008171123843802518,0.020742083603498697,0.020378187399928544,0.01227322650222969,0.0068974871313069825,0.0075756573288695405,0.01048131337858879
Massachusetts,6892503,0.047645971282130745,0.017526289070893406,0.008052227180749867,0.006543341366699441,0.005745372907345851,0.007762056831894016,0.010982947704193962,0.024301766716677525,0.031251346571775154,0.022357625379343327,0.015480588111459654,0.006166119913186835,0.016984637753029146
Michigan,9986857,0.01742289891604536,0.00462608005701894,0.0025733821962204925,0.003033987569863071,0.003304342897870671,0.00616810674269192,0.018674543953117583,0.0345854556643797,0.025102992863520524,0.00984293657153597,0.006118040941209031,0.016361503924608112,0.012317856024840113
Minnesota,5639632,0.012536278962882685,0.007553684353872735,0.002907991159706875,0.004007353671303376,0.003954158711064836,0.007482757740221348,0.020231816544058194,0.030675760404224955,0.01571024492378226,0.005018057915835643,0.0066493700298175485,0.005514544211395353,0.010186834885680484
Mississippi,2976149,0.01589302148514742,0.011390558738826585,0.019824276271114116,0.027216379287461748,0.016665832255038305,0.012264170913485849,0.01589302148514742,0.032928458891003105,0.042269389066206024,0.021369897810895894,0.011793764357900091,0.005611278198772978,0.019426670730083296
Missouri,6626371,0.005704479872919883,0.0031238818351704127,0.0037577129321615106,0.004406635245747635,0.007968162362173806,0.01444229428144002,0.012601165856846832,0.027677291235277953,0.02032786875350022,0.018260372079981636,0.008632175892354956,0.004300996729582451,0.010933586423096444
Montana,1068778,9.356480017365627E-5,4.6782400086828134E-4,0.0035554624065989382,0.004116851207640876,0.0071109248131978765,0.018245136033862974,0.028630828853138817,0.026198144048623754,0.025449625647234506,0.011602035221533379,0.0074851840138925015,0.012537683223269942,0.012124438689169625
