Country,Month,avg(Confirmed),avg(Deaths),avg(Recovered)
Italy,9,13887.874603174603,1698.2222222222222,10286.43492063492
Italy,10,20401.2534562212,1747.826420890937,11954.694316436251
Italy,11,56070.43492063492,2198.595238095238,22362.498412698413
Italy,12,89543.90476190476,3143.201228878648,54993.746543778805
Japan,1,6519.198156682028,92.65964450296248,5127.786701777485
Japan,2,8474.898688046647,142.53935860058309,7759.156705539359
Japan,3,9201.416063199473,175.92034233048057,8723.606319947334
Japan,4,10772.40612244898,195.47006802721089,9730.624489795919
Japan,5,4383.244827586207,83.3896551724138,3817.4689655172415
Japan,6,365.00625,19.539583333333333,324.1638888888889
Japan,7,513.7117177097203,20.378828229027963,397.63382157123834
Japan,8,1120.4186965108624,22.95852534562212,822.5345622119816
Japan,9,1562.708843537415,29.80952380952381,1374.0081632653062
Japan,10,1880.3298222514813,33.95062541145491,1709.2527978933508
Japan,11,2483.2068027210885,38.701360544217685,2125.7408163265304
Japan,12,3871.312047399605,54.134957208689926,3201.508887425938
Lebanon,2,1.0,0.0,0.0
Macau,1,36.170731707317074,0.0,34.78048780487805
Macau,2,28.473684210526315,0.0,24.614035087719298
Macau,3,32.96774193548387,0.0,28.516129032258064
Macau,4,46.65,0.0,33.36666666666667
Macau,5,45.24242424242424,0.0,42.878787878787875
Macau,6,45.2,0.0,45.0
Macau,7,46.0,0.0,45.32258064516129
Macau,8,46.0,0.0,46.0
Macau,9,46.0,0.0,46.0
Macau,10,46.0,0.0,46.0
Macau,11,46.0,0.0,46.0
Macau,12,46.0,0.0,46.0
Mainland China,1,2140.4899691358023,111.5625,1972.9706790123457
Mainland China,2,2309.3214484679665,98.15487465181059,1526.5108635097492
Mainland China,3,2677.5603840323397,122.32945932289034,2348.7847397675596
Mainland China,4,2699.7458333333334,133.984375,2543.98125
Mainland China,5,2606.6070075757575,144.80208333333334,2456.2623106060605
Mainland China,6,2601.378125,144.8125,2449.596875
Mainland China,7,2616.03125,144.8125,2459.9465725806454
Mainland China,8,2649.9939516129034,144.8125,2487.1381048387098
Mainland China,9,2663.547916666667,144.8125,2513.2791666666667
Mainland China,10,2677.1431451612902,144.8125,2524.3971774193546
Mainland China,11,2697.967708333333,144.8125,2541.9333333333334
Mainland China,12,2712.2540322580644,144.8125,2557.6945564516127
Mexico,1,49513.52101661779,4269.008797653959,37205.35679374389
Mexico,2,60257.58766233766,5263.051948051948,46826.80194805195
Mexico,3,65782.62267839687,5920.397849462365,51875.10850439883
Mexico,4,69536.22323232323,6381.904040404041,55233.10101010101
Mexico,5,12394.906666666666,1180.2111111111112,9653.204444444444
Mexico,6,4887.958333333333,586.1270833333333,3624.242708333333
Mexico,7,10189.252016129032,1173.6270161290322,7851.9949596774195
Mexico,8,16237.929435483871,1763.319556451613,13141.808467741936
Mexico,9,21155.366666666665,2240.0958333333333,17749.792708333334
Mexico,10,26288.07560483871,2670.4959677419356,22251.69556451613
Mexico,11,30992.99693564862,3026.093973442288,24209.816138917264
Mexico,12,38696.92668621701,3513.5806451612902,28726.060606060608
Netherlands,1,53782.10626185958,761.7798861480076,677.4478178368122
Netherlands,2,61562.07773109244,880.0987394957983,807.4306722689075
Netherlands,3,64202.12,876.7495652173913,817.5652173913044
Netherlands,4,67241.32114467409,814.3068362480127,968.8346581875994
Netherlands,5,19425.41772151899,224.15822784810126,358.10759493670884
Netherlands,6,51.80833333333333,4.75,45.875
Netherlands,7,2498.648902821317,290.57993730407526,18.71473354231975
Netherlands,8,3770.504743833017,364.85578747628085,27.40607210626186
Netherlands,9,5500.945098039216,371.956862745098,143.1529411764706
Netherlands,10,13321.223908918406,401.98481973434536,299.13662239089183
Netherlands,11,26764.32549019608,503.3627450980392,378.41960784313727
Netherlands,12,38913.667931688804,611.3757115749526,481.6394686907021
Others,2,438.0869565217391,1.5217391304347827,1.9130434782608696
Others,3,702.2608695652174,6.695652173913044,215.6086956521739
Pakistan,1,73870.17511520737,1567.0230414746543,67399.97235023041
Pakistan,2,80638.67857142857,1764.219387755102,75002.22448979592
Pakistan,3,88360.86175115207,1953.3824884792627,82324.79262672811
Pakistan,4,107081.56666666667,2301.3952380952383,93740.38571428572
Pakistan,5,118862.78571428571,2587.0714285714284,103589.0
Pakistan,6,24452.482993197278,485.74149659863946,9862.585034013606
Pakistan,7,36453.589861751156,766.2857142857143,26382.423963133642
Pakistan,8,41175.69124423963,879.3133640552995,38146.967741935485
Pakistan,9,43422.54285714286,914.0619047619048,41464.59523809524
Pakistan,10,46110.4331797235,949.1059907834101,43776.4331797235
Pakistan,11,51862.72857142857,1049.3142857142857,46563.81428571429
Pakistan,12,63777.24884792627,1303.4884792626729,56225.51612903226
Peru,1,40789.2729528536,1494.4491315136477,37964.91439205955
Peru,2,47378.42032967033,1679.267857142857,43814.468406593405
Peru,3,54997.62406947891,1893.9863523573201,51506.09801488834
Peru,4,64575.014102564106,2170.274358974359,61692.72435897436
Peru,5,27013.76923076923,901.7820512820513,24012.30128205128
Peru,6,8886.215384615385,269.4871794871795,4623.780769230769
Peru,7,13222.87841191067,526.120347394541,8913.21712158809
Peru,8,20364.86600496278,941.9292803970224,13966.212158808932
Peru,9,28274.96923076923,1184.501282051282,22157.35128205128
Peru,10,33068.723325062034,1289.4975186104218,29318.305210918115
Peru,11,35930.04615384615,1354.0435897435898,33136.71538461538
Peru,12,37995.699751861044,1414.833746898263,35529.137717121586
Russia,1,42138.518849591914,773.7431014380101,34960.394869801785
Russia,2,48499.53141135973,950.0615318416524,42756.53442340792
Russia,3,52502.33346288379,1100.0003886513798,47757.78002331908
Russia,4,55749.840562248995,1239.9722891566264,51267.22168674699
Russia,5,57399.867469879515,1311.3614457831325,52886.94578313253
Russia,6,6464.891164658635,86.45301204819278,3555.3586345381527
Russia,7,9029.55343956471,142.43179168286048,6368.20209871745
Russia,8,11079.690633501748,188.1601243684415,8791.926544889235
Russia,9,12967.526104417671,227.17831325301205,10661.780722891566
Russia,10,16536.94325689856,286.8651379712398,12794.994558880684
